_id,ltable_id,rtable_id,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price
362,1050,7,Canon Digital EOS Rebel XS Starter Kit - 9320A010,"Canon Digital EOS Rebel XS Starter Kit - 9320A010/ Includes Digital Gadget Bag 200DG, Battery Pack NB-2LH, 58mm UV Haze Filter",_,Canon KP 36IP Print Cartridge / Paper Kit - 7737A001,36 Page 4' x 6',$9.99
744,16,19,Logitech Driving Force Pro Steering Wheel With Pedals Set For Sony Playstation 2 - 9632930403,Logitech Driving Force Pro Steering Wheel With Pedals Set For Sony Playstation 2 - 9632930403/ Comfortable Soft Full Rubber Wheel/ Realistically Turn Through 2.5 Times Wheel Rotation/ 900 Degrees Of wheel Steering/ State-Of-The-Art Force Feedback Technology/ Stick Shifter/ Responsive Gas And Brake Pedals/ Black Finish,$129.00,Sony VAIO Notebook and AC Adapter Case - VGPAMC2,VAIO NEOPRENE NOTEBOOK & AC ADAPTER CASE UP TO 17 IN LCD,_
771,116,19,Sony Digital Photo Printer Paper 120 Pack - SVMF120P,Sony Digital Photo Printer Paper 120 Pack - SVMF120P/ 4' x 6' Print Paper With Snap-Off Edges/ Super Coat 2 Protective Lamination/ Water Damage And Fingerprint Resistant Prints/ 120 Sheets Of Paper And Print Ribbon/ For DPPF Series Digital Photo Printers Only,$35.00,Sony VAIO Notebook and AC Adapter Case - VGPAMC2,VAIO NEOPRENE NOTEBOOK & AC ADAPTER CASE UP TO 17 IN LCD,_
1452,450,22,Sony Black Cyber-Shot W Series Digital Camera Carrying Case - LCSCSL,Sony LCS-CSL Black Cyber-Shot W And S Series Digital Camera Carrying Case - LCSCSL/ Designed Exclusively For Your Cyber-Shot W And S Series Digital Camera/ Form-Fitting Design/ Leather Material/ Black Finish,_,Panasonic Black Toner Cartridge - KX-FA83,"Panasonic Toner Cartridge for the KX-FL511, KX-FL541, KX-FL611 and KX-FLM651 Series",_
2107,27,25,NetGear ProSafe 24 Port Smart Switch - FS726TP,NetGear ProSafe 24 Port Smart Switch - FS726TP/ Two Gigabit Ports Plus Easy Browser/ ProSafe Network Management Software/ Web Based Smart Management Features,$605.00,Netgear ProSafe WG102 Wireless Access Point 802.11g - WG102NA,NETGEAR Prosafe 802.11g Wireless Access Point,_
2418,1022,29,Sony VAIO CS Series Pink Notebook Computer - VGNCS180JP,Sony VAIO CS Series Pink Notebook Computer - VGNCS180JP/ 2.26GHz Intel Core 2 Duo Processor P8400/ 14.1' (1280 x 800) XBRITE-ECO Widescreen Display/ 320GB Serial ATA 5400rpm Hard Drive/ Built-In 1.3 Megapixel MOTION EYE Camera And Microphone/ 4GB PC2-6400 (2GBx2) Installed Memory/ Integrated Stereo A2DP Bluetooth/ 1066MHz Front Side Bus Speed/ 3MB L2 Cache/ Blu-ray Drive (Read Only)/ Genuine Microsoft Windows Vista Home Premium 64-Bit/ Pink Finish,_,SONY 7-11719-70670-0 PS2 8 MB Memory Card 2-pk - 97067,_,_
2521,541,31,Toshiba Black 1080p Upconversion DVD Player - SD6100,Toshiba Black 1080p Upconversion DVD Player - SD6100/ Video Upconversion Up To 1080p Resolution/ HDMI/ REGZA LINK/ Multi-Format Playback Capability/ Black Finish,_,PlayStation 2 DVD Remote - 97076,_,_
2608,434,32,Sony Lithium-Ion Rechargeable Battery Pack - NPFD1,"Sony Lithium-Ion Rechargeable Battery Pack - NPFD1/ InfoLITHIUM Long-Lasting Lithium-Ion Battery/ Compatilble With Sony Cyber-Shot DSCT2 Series, DSC-T70 Series, And DSC-T200 Series",_,Sennheiser Nickel metal hydride Battery for Headsets - BA-151,Nickel-Metal Hydride (NiMH) - 2.4V DC - Headset Battery,$14.34
2752,663,33,Sony 4GB Memory Stick PRO Duo Mark 2 Media Card - MSMT4G,Sony 4GB Memory Stick PRO Duo Mark 2 Media Card - MSMT4G/ 160 Mbps Transfer Speed/ Ideal For AVCHD Recording/ 3.66GB Actual Capacity,_,Sony MiniDV Head Cleaner - DVM12CLD,Head Cleaner,$7.95
2986,878,34,Sony 7.1 Channel Black A/V Receiver - STRDG820,"Sony 7.1 Channel Black A/V Receiver - STRDG820/ 770 Watts Total Power (110W x 7)/ Accepting Resolutions Up To 1080p Via HDMI/ Digital Cinema Auto Calibration/ BRAVIA Sync/ Digital Cinema Sound/ Dolby Digital, Dolby Digital EX, Dolby Pro Logic II, Dolby Pro Logic IIx, Dts, Dts-ES, Dts 96/24, Dts NEO:6 Decoding/ Black Finish",$399.00,Sony SB-V40S A/V Selector - SBV40S,"VCR, Camcorder, AV Receiver, Video Game Console, TV, Laser Disc Player, DVD Player Compatible - 4 x S-Video In, 4 x Composite Video In, 4 x Stereo Audio Line In, 1 x S-Video Out, 1 x Composite Video Out, 1 x Stereo A",_
3035,67,35,Panasonic 5-Pack DVD-RAM Discs - LMAF120LU5,Panasonic 5-Pack DVD-RAM Discs - LMAF120LU5/ Slim Cases/ 2-3x Speed/ Single-Sided/ 120 Minute (4.7GB/Non-Cartridge)/ For Video Recording/ 5 Pack,$15.00,Panasonic KX-TS108W Corded Phone,1 x Phone Line(s) - White,_
