_id,ltable_id,rtable_id,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price
316,498,7,Canon DVD Camcorder - DC320,Canon DVD Camcorder - DC320/ Image Stabilization/ Widescreen HR Recording/ 2.7' LCD Screen/ Smooth Zoom Control/ Built-In Lens Cover/ 9 Digital Effects/9 Fades/ 21 Selectable Display Languages/ 37x Optical/2000x Digital Zoom/ Silver Finish,_,Canon KP 36IP Print Cartridge / Paper Kit - 7737A001,36 Page 4' x 6',$9.99
554,140,15,Directed 50ft Extension Cable - 14230,"Directed 50ft Extension Cable - 14230/ Built-In Signal Amplifier/ SMB Connector/ Indoor/Outdoor Use For Home, RVs And Boat/ Black Finish",_,Belkin Monitor Cable - F3H982-25,1 x HD-15 - 1 x HD-15 - 25ft - Black,$15.98
953,822,19,Sony Black DVD Recorder And VHS Combo Player - RDRVX560,"Sony Black DVD Recorder And VHS Combo Player - RDRVX560/ Multiformat DVD Compatible/ HDMI Output With 1080p,1080i,720p Upscaling/ USB One Touch Dubbing/ 4 Video Head Stereo VHS With 19 Micron Heads/ Virtual Surround Sound For DVD With Stereo TV Speakers/ Black Finish",$219.00,Sony VAIO Notebook and AC Adapter Case - VGPAMC2,VAIO NEOPRENE NOTEBOOK & AC ADAPTER CASE UP TO 17 IN LCD,_
1782,49,23,Sanus WMS3S Silver Weather Resistant Small Speaker Wall Mount - WMS3S,Sanus WMS3S Silver Small Speaker Wall Mount - WMS3S/ Holds Up To An 8 Pound Speaker/ Multiple Pivot Points/ Weather Resistant For Indoor/Outdoor Use/ Silver Finish/ Priced Per Pair,$29.99,Logitech Z-2300 Multimedia Speaker System - 970118-0403,2.1-channel,_
1853,707,23,Panasonic Black DVD Home Theater Sound System - SCPT660,Panasonic Black DVD Home Theater Sound System - SCPT660/ Kelton Subwoofer/ Bamboo Diaphragm Center Speakers/ 1080p Up-Conversion/ Integrated Universal Dock And On-Screen Display For iPod/ iPod Video Playback/ Whisper-Mode Surround/ Built-In Dolby Digital And DTS Decoder/ High Speed 5-DVD/CD Changer/ Black Finish,$289.00,Logitech Z-2300 Multimedia Speaker System - 970118-0403,2.1-channel,_
1964,429,24,Sony HD-Handycam 3 Meters (10 Feet) HDMI Mini Cable - VMC30MHD,Sony HD-Handycam 3 Meters (10 Feet) HDMI Mini Cable - VMC30MHD/ Gold Plating Plug/ HDMI-Compliant High Speed Category 2 Cable/ Support Full HD 1080p/ Digital Audio Transfer/ 3 Meters(10 Feet)/ Black Finish,$69.00,Sony High Definition Mini DV Cassette - DSL-190-B,Sony DVM-63 HD High-Definition miniDV Videocassette,_
2130,26,26,Netgear RangeMax Wireless Access Point - White Finish - WPN802NA,"Netgear RangeMax Wireless Access Point - WPN802NA/ Improves Performance Of Existing Legacy 802.11b And 802.11g Wireless Devices Up To 50 Percent/ Wired Equivalent Privacy (WEP) 64-Bit,128-Bit Encryption/ Wi-Fi Protected Access (WPA, Pre-Shared Key)",$130.00,Netgear RangeMax WPN802 Wireless Access Point - WPN802NA,108Mbps,_
2353,723,29,Sony Black 9 Megapixel Cyber-Shot Digital Camera - DSCH50B,Sony Black 9 Megapixel Cyber-Shot Digital Camera - DSCH50B/ 9 Megapixels/ 3.0' Tilt-Up Clear Photo LCD Plus Display/ Carl Zeiss 15X Optical Zoom Lens/ 15 MB Internal Memory/ Versatile Long Distance Flash/ Smart Zoom/ In-Camera Red-Eye Correction/ Smile Shutter Technology/ Face Detection/ In-Camera Retouching/ Super SteadyShot Optical Image Stabilization/ Double Anti-Blur Solution/ HDTV Compatibility/ NightShot Infrared System/ Black Finish,_,SONY 7-11719-70670-0 PS2 8 MB Memory Card 2-pk - 97067,_,_
2429,1068,29,Sony 52' BRAVIA XBR Series Black LCD Flat Panel HDTV - KDL52XBR6,Sony 52' BRAVIA XBR Series Black LCD Flat Panel HDTV - KDL52XBR6/ 1920 x 1080 Full HD 1080p Resolution/ Digital Media Extender (DMex)/ BRAVIA Engine II Technology/ Advanced Contrast Enhancer (ACE)/ 24p True Cinema/ 120Hz Refresh Rate With Dejudder Processing/ Bottom-Mounted Speaker/ Black Finish,_,SONY 7-11719-70670-0 PS2 8 MB Memory Card 2-pk - 97067,_,_
3088,585,35,Panasonic Black 8.5' Portable DVD Player - DVDLS83,Panasonic Black 8.5' Portable DVD Player - DVDLS83/ 8.5' Free Style Wide Screen LCD Display/ 6 Hour Battery/ Multi Format Playback/ Dual Headphone Jacks/ DivX Playback/ Car DC Adapter Included/ Black Finish,_,Panasonic KX-TS108W Corded Phone,1 x Phone Line(s) - White,_
3211,629,36,Panasonic DECT 6.0 Silver Expandable Digital Cordless Phone System - KXTG9332S,Panasonic DECT 6.0 Silver Expandable Digital Cordless Phone System - KXTG9332S/ 2 Handsets System/ Digital Answering Machine/ Ringer ID/ Talking Caller ID/ Voicemail/ Hold/ Mute/ Clock/ Alarm/ LED Lighting/ Night Mode/ Speakerphone/ Intercom/ 11 Days Standby/ 5 Hours Talk Time/ Silver Finish,_,Panasonic KX-TS208W Corded Phone,2 x Phone Line(s) - Headset - White,_
3462,880,38,Sony 46' BRAVIA Z Series Black LCD Flat Panel HDTV - KDL46Z4100B,Sony 46' BRAVIA Z Series Black LCD Flat Panel HDTV - KDL46Z4100B/ 1920 x 1080 Full HD 1080p Resolution/ Digital Media Extender (DMex)/ BRAVIA Engine Technology/ Advanced Contrast Enhancer (ACE)/ Enhanced (XMB) User Interface With Rich 3D Graphics/ 24p True Cinema/ Black Finish,_,Sony h.ear Stereo Earphones - MDRJ10/BLUE,_,$12.38
